slat,slon,pdate
43.33933,-69.58789,2016-06-10 22:54:51
42.12849,-70.19059,2016-04-18 11:11:17
42.125330000000005,-70.35072,2016-05-09 09:15:05
43.266819999999996,-69.32646,2016-06-11 10:55:19
42.091409999999996,-70.03976,2016-04-18 13:44:38
42.059200000000004,-70.28067,2016-05-09 11:01:37
43.18917999999999,-69.39632,2016-06-11 12:58:09
42.157430000000005,-70.27206,2016-07-01 10:19:13
42.075959999999995,-70.28918,2017-04-08 11:50:23
42.03579,-70.00648,2017-10-01 12:55:05
42.02796,-70.26628,2016-05-09 12:28:34
43.243069999999996,-69.46773,2016-06-11 15:10:01
42.15401,-70.2054,2016-07-01 11:43:48
42.12904,-70.34716,2016-10-06 13:23:45
42.104459999999996,-70.23310000000001,2017-04-08 13:45:45
42.12962,-70.14194,2017-10-01 15:36:51
42.049949999999995,-70.00789,2016-04-18 15:29:48
43.24552,-70.02464,2016-06-11 17:31:13
42.11457,-70.18919,2016-07-01 13:09:14
41.528459999999995,-70.23172,2016-10-06 17:49:55
42.07722,-70.1693,2017-04-08 15:03:10
41.5291,-70.266,2016-05-09 16:15:37
43.21392,-70.00872,2016-06-11 18:39:50
42.12139,-70.09346,2016-07-01 14:34:03
41.54184,-70.11433,2016-10-06 19:39:21
41.53451,-70.22502,2017-04-08 18:15:28
42.05598,-70.18012,2016-04-18 19:18:09
41.496,-70.21481,2016-05-09 17:49:14
43.21333,-70.18403,2016-06-11 21:22:27
42.10465,-70.03145,2016-07-01 15:38:24
41.57014,-70.14608,2016-10-06 20:42:45
41.5349,-70.26039,2017-04-08 19:23:21
42.01913,-70.23457,2016-04-18 20:56:50
41.52055,-70.19197,2016-05-09 19:23:25
43.094989999999996,-70.18404000000001,2016-06-11 23:32:58
41.57057,-70.11536,2016-07-01 19:25:48
42.007479999999994,-70.17226,2016-10-06 21:53:29
42.3631,-70.09602,2017-10-03 13:27:23
41.57447,-70.17347,2016-04-18 22:45:57
42.086149999999996,-70.12755,2016-05-09 22:07:38
41.564170000000004,-70.17008,2016-07-01 20:31:35
42.29906,-69.45152,2016-10-07 10:47:03
41.5737,-70.31545,2017-04-08 21:05:36
42.40357,-70.06354999999999,2017-10-03 14:45:36
41.554269999999995,-70.11272,2016-04-19 10:07:48
42.11894,-70.06184,2016-05-09 23:20:57
41.58326,-70.21872,2016-06-14 13:06:14
41.52819,-70.18996,2016-07-01 21:31:04
42.23866,-69.45323,2016-10-07 12:24:27
42.49585,-69.59921,2017-10-03 16:50:20
41.56515,-70.25356,2016-04-19 12:38:23
43.01405,-69.35376000000001,2016-05-10 09:25:23
41.50908999999999,-70.2263,2016-06-14 14:46:28
42.23099,-69.51745,2016-10-07 14:01:20
42.1835,-70.33916,2017-04-09 11:09:25
42.4502,-70.16869,2017-10-03 19:50:09
42.1338,-70.35970999999999,2016-04-19 15:53:37
42.57516,-69.33076,2016-05-10 10:43:10
41.55294,-70.11891,2016-06-14 16:52:16
42.16277,-70.02838,2016-10-07 16:32:31
42.23844,-70.31746,2017-04-09 13:00:16
42.55044,-70.20705,2017-10-03 22:05:54
42.232420000000005,-70.31337,2016-04-20 20:12:50
42.485569999999996,-69.5738,2016-05-10 14:59:55
42.063,-70.17786,2016-06-14 19:11:25
42.389179999999996,-70.17622999999999,2016-07-05 14:32:23
42.23535,-70.09628,2016-10-07 18:58:42
42.28515,-70.38491,2017-04-09 14:55:51
42.47943,-70.43698,2017-10-04 12:21:33
42.31446,-70.34890999999999,2016-04-20 22:16:14
42.44873,-69.5363,2016-05-10 16:26:13
42.451220000000006,-70.14019,2016-07-05 16:09:42
42.07907,-70.20038,2016-10-08 11:27:59
42.583819999999996,-70.31257,2017-10-04 15:25:49
42.555640000000004,-69.31096,2016-04-21 09:48:36
42.46589,-69.42993,2016-05-10 18:35:32
42.14643,-70.19277,2016-06-14 21:47:42
42.468689999999995,-70.23743999999999,2016-07-05 17:40:59
42.15907,-70.20697,2016-10-08 13:11:38
42.59051,-70.25156,2017-10-04 16:28:27
42.53507,-69.35996,2016-04-21 11:25:39
42.41856,-69.41215,2016-05-10 20:23:28
42.427550000000004,-70.40272,2016-07-05 20:04:34
42.15316,-70.16542,2016-10-08 14:28:23
42.290820000000004,-70.47042,2017-04-09 19:06:34
42.533429999999996,-70.26583,2017-10-04 18:07:31
42.461059999999996,-69.50054,2016-04-21 14:16:28
42.38471,-69.37656,2016-05-10 21:58:46
